"tweet_id","text"
1506586588263854080,"somerset fa support neurodiversity celebration week worldwide initiative challenge stereotype misconception neurological difference visit"
1506587639117488128,"jenny mclaughlin dyslexia adhd strong believer asset lead heathrows disability network ensure equitable seat table"
1506589075972755456,"celebration week wednesday dr steven kapp university portsmouth research people social justice perspective talk career researcher"
1506589537895653376,"tomorrow thursday march pm join lead access consultant architect jane simpson helen kane jean hewitt online seminar share architect neurodiversity design"
1506590684807057408,"people affect neurodivergent condition"
1506601907099381760,"neurodiversity celebration week moment read blog outsider inside story"
1506602586635386880,"week neurodiversity celebration week aim recognise talent amp advantage neurodivergent practical tip amp longerterm idea support neurodiversity workplace guide"
1506605556966080512,"week highlight neurodiversity celebration week patrick sharkey speak neurodivergent people challenge overcome daily life ep asperger"
1506610461302833152,"myth recognise neurodiversity include autism neurodiverse people similar not_succeed mental health condition affect spoiler false"
1506613552177631232,"host event week educate amp encourage conversation neurodiversity event free attend include intro neurodiversity autismadhd woman amp girl underidentified amp undersupported amp"
1506613559593213952,"difference relative connectivity brain lateral blog public scholar bring capability mix quest"
1506620539355508736,"week st march march neurodiversity celebration week uk lisa explain neurodiversity podcast visit listen podcast"
1506622546749366272,"adhd superpower email kryptonite iain preston chief client success officer wunderman thompson emea talk campaign agency life neuro distinct leader read"
1506624717159030784,"utterly brilliant write utterly brilliant piece livingworking dyslexia not_change nor_should fuck"
1506638647793229824,"proud support neurodiversity celebration week celebrate neurodiverse staff student"
1506638776470286336,"amaze wpa amp event set team representative service join support mind"
1506647154869350400,"celebrate difference raise awareness empower individual"
1506649296220921856,"struggle mood swing learn adhd"
1506652741506150400,"proud community promote inclusion diversity hope connect people recognise strength neurodiversity bring table proud community joanne"
1506656587905183744,"neurodiversity business nib businessled forum function industry organisation share industry practice neurodiversity recruitment retention empowerment read nib"
1506662167818510336,"employer champion neurodivergent colleague serial ambassador share tip read"
1506665918063005696,"not_autism square peg world create neurodivergents lightyears understand world labyrinth neurodiversity"
1506669855818326016,"network host event discuss intersection neurodiversity lgbt identity law"
